Référence;Description;Fournisseur;Unité;Prix d'achat;Marge;Photo;Catégories;Compte Général;Stock (Y/N);Emplacement;EAN;Quantité Min;Quantité Max;Identifiant_Fourniture;Identifiant_Emplacement
AR00000201;FACONNAGE S/ MESURE 500 QZ 1;Façozinc;Mc;32,13;0,00;;;;;;;;
AR00000202;FACONNAGE S/ MESURE 500 QZ 0,8;Façozinc;Mc;26,42;0,00;;;;;;;;
AR00000203;FACONNAGE S/ MESURE 500 QZ 0,7;Façozinc;Mc;23,57;0,00;;;;;;;;
AR00000206;FACONNAGE S/ MESURE 450 QZ 1;Façozinc;Mc;28,95;0,00;;;;;;;;
AR00000207;FACONNAGE S/ MESURE 450 QZ 0,8;Façozinc;Mc;23,87;0,00;;;;;;;;
AR00000208;FACONNAGE S/ MESURE 450 QZ 0,7;Façozinc;Mc;21,33;0,00;;;;;;;;
AR00000211;FACONNAGE S/ MESURE 400 QZ 1;Façozinc;Mc;26,13;0,00;;;;;;;;
AR00000212;FACONNAGE S/ MESURE 400 QZ 0,8;Façozinc;Mc;21,62;0,00;;;;;;;;
AR00000213;FACONNAGE S/ MESURE 400 QZ 0,7;Façozinc;Mc;19,58;0,00;;;;;;;;
AR00000216;FACONNAGE S/ MESURE 375 QZ 1;Façozinc;Mc;24,72;0,00;;;;;;;;
AR00000217;FACONNAGE S/ MESURE 375 QZ 0,8;Façozinc;Mc;20,49;0,00;;;;;;;;
AR00000218;FACONNAGE S/ MESURE 375 QZ 0,7;Façozinc;Mc;18,58;0,00;;;;;;;;
AR00000221;FACONNAGE S/ MESURE 333 QZ 1;Façozinc;Mc;22,35;0,00;;;;;;;;
AR00000222;FACONNAGE S/ MESURE 333 QZ 0,8;Façozinc;Mc;18,80;0,00;;;;;;;;
AR00000223;FACONNAGE S/ MESURE 333 QZ 0,7;Façozinc;Mc;16,90;0,00;;;;;;;;
AR00000226;FACONNAGE S/ MESURE 300 QZ 1;Façozinc;Mc;20,49;0,00;;;;;;;;
AR00000227;FACONNAGE S/ MESURE 300 QZ 0,8;Façozinc;Mc;17,30;0,00;;;;;;;;
AR00000228;FACONNAGE S/ MESURE 300 QZ 0,7;Façozinc;Mc;15,58;0,00;;;;;;;;
AR00000231;FACONNAGE S/ MESURE 285 QZ 1;Façozinc;Mc;19,86;0,00;;;;;;;;
AR00000232;FACONNAGE S/ MESURE 285 QZ 0,8;Façozinc;Mc;16,61;0,00;;;;;;;;
AR00000233;FACONNAGE S/ MESURE 285 QZ 0,7;Façozinc;Mc;14,99;0,00;;;;;;;;
AR00000236;FACONNAGE S/ MESURE 250 QZ 1;Façozinc;Mc;17,87;0,00;;;;;;;;
AR00000237;FACONNAGE S/ MESURE 250 QZ 0,8;Façozinc;Mc;15,01;0,00;;;;;;;;
AR00000238;FACONNAGE S/ MESURE 250 QZ 0,7;Façozinc;Mc;13,73;0,00;;;;;;;;
AR00000241;FACONNAGE S/ MESURE 200 QZ 1;Façozinc;Mc;15,01;0,00;;;;;;;;
AR00000242;FACONNAGE S/ MESURE 200 QZ 0,8;Façozinc;Mc;12,87;0,00;;;;;;;;
AR00000243;FACONNAGE S/ MESURE 200 QZ 0,7;Façozinc;Mc;11,72;0,00;;;;;;;;
AR00000246;FACONNAGE S/ MESURE 187 QZ 1;Façozinc;Mc;14,27;0,00;;;;;;;;
AR00000247;FACONNAGE S/ MESURE 187 QZ 0,8;Façozinc;Mc;12,27;0,00;;;;;;;;
AR00000248;FACONNAGE S/ MESURE 187 QZ 0,7;Façozinc;Mc;11,19;0,00;;;;;;;;
AR00000251;FACONNAGE S/ MESURE 175 QZ 1;Façozinc;Mc;13,73;0,00;;;;;;;;
AR00000252;FACONNAGE S/ MESURE 175 QZ 0,8;Façozinc;Mc;11,72;0,00;;;;;;;;
AR00000253;FACONNAGE S/ MESURE 175 QZ 0,7;Façozinc;Mc;10,83;0,00;;;;;;;;
AR00000256;FACONNAGE S/ MESURE 150 QZ 1;Façozinc;Mc;12,29;0,00;;;;;;;;
AR00000257;FACONNAGE S/ MESURE 150 QZ 0,8;Façozinc;Mc;10,68;0,00;;;;;;;;
AR00000258;FACONNAGE S/ MESURE 150 QZ 0,7;Façozinc;Mc;9,81;0,00;;;;;;;;
AR00000261;FACONNAGE S/ MESURE 120 QZ 1;Façozinc;Mc;10,68;0,00;;;;;;;;
AR00000262;FACONNAGE S/ MESURE 120 QZ 0,8;Façozinc;Mc;9,28;0,00;;;;;;;;
AR00000263;FACONNAGE S/ MESURE 120 QZ 0,7;Façozinc;Mc;8,68;0,00;;;;;;;;
AR00000266;FACONNAGE S/ MESURE 100 QZ 1;Façozinc;Mc;9,51;0,00;;;;;;;;
AR00000267;FACONNAGE S/ MESURE 100 QZ 0,8;Façozinc;Mc;8,44;0,00;;;;;;;;
AR00000268;FACONNAGE S/ MESURE 100 QZ 0,7;Façozinc;Mc;7,85;0,00;;;;;;;;
AR00000538;CROCHET MOUL VM 333 GALVA ENT;Façozinc;Pièce(s);1,18;0,00;;;;;;;;
AR00000544;CROCHET MOUL VM 333 NOIR ENT;Façozinc;Pièce(s);1,53;0,00;;;;;;;;
AR00000550;CROCHET MOUL VM 285 GALVA;Façozinc;Pièce(s);1,81;0,00;;;;;;;;
AR00000553;CROCHET MOUL VM 285 NOIR;Façozinc;Pièce(s);1,90;0,00;;;;;;;;
AR00000578;FOND DE GOUT MOUL VM 285 ZN;Façozinc;Pièce(s);1,50;0,00;;;;;;;;
AR00000579;FOND DE GOUT MOUL VM 333 ATZ TALON DROIT;Façozinc;Pièce(s);2,13;0,00;;;;;;;;
AR00000581;FOND DE GOUT MOUL VM 285 ATZ;Façozinc;Pièce(s);2,02;0,00;;;;;;;;
AR00000582;FOND DE GOUT MOUL VM 333 QZ TALON DROIT;Façozinc;Pièce(s);2,10;0,00;;;;;;;;
AR00000598;ANGLE MOUL VM 333 ZN INTERIEUR;Façozinc;Pièce(s);24,49;0,00;;;;;;;;
AR00000599;ANGLE MOUL VM 285 ZN INT;Façozinc;Pièce(s);22,39;0,00;;;;;;;;
AR00000600;ANGLE MOUL VM 333 ATZ INTERIEUR;Façozinc;Pièce(s);30,12;0,00;;;;;;;;
AR00000602;ANGLE MOUL VM 333 QZ INTERIEUR;Façozinc;Pièce(s);29,70;0,00;;;;;;;;
AR00000607;JOINT DE DILATATION MOUL VM 333 ZN;Façozinc;Pièce(s);10,53;0,00;;;;;;;;
AR00000608;JOINT DE DILATATION MOUL VM 285 ZN;Façozinc;Pièce(s);10,81;0,00;;;;;;;;
AR00000689;CROCHET DL 333 GALVA;Façozinc;Pièce(s);1,51;0,00;;;;;;;;
AR00000690;CROCHET DL 333 GALVA LT;Façozinc;Pièce(s);1,44;0,00;;;;;;;;
AR00000693;CROCHET DL 333 NOIR;Façozinc;Pièce(s);2,00;0,00;;;;;;;;
AR00000697;CROCHET DL 333 CUIVRE;Façozinc;Pièce(s);11,35;0,00;;;;;;;;
AR00000699;CROCHET DL 285 GALVA;Façozinc;Pièce(s);1,30;0,00;;;;;;;;
AR00000700;CROCHET DL 285 GALVA LT;Façozinc;Pièce(s);1,53;0,00;;;;;;;;
AR00000703;CROCHET DL 285 NOIR;Façozinc;Pièce(s);1,95;0,00;;;;;;;;
AR00000722;FOND DE GOUTTIERE DL 333 ZN;Façozinc;Pièce(s);1,59;0,00;;;;;;;;
AR00000734;FOND DE GOUTTIERE DL 333 ATZ;Façozinc;Pièce(s);2,02;0,00;;;;;;;;
AR00000736;FOND DE GOUTTIERE DL 285 ATZ;Façozinc;Pièce(s);2,02;0,00;;;;;;;;
AR00000737;FOND DE GOUTTIERE DL 333 QZ;Façozinc;Pièce(s);2,02;0,00;;;;;;;;
AR00000745;FOND DE GOUTTIERE DL 333 CU;Façozinc;Pièce(s);2,42;0,00;;;;;;;;
AR00000753;FOND DE GOUTTIERE CAR PIGNON ZN;Façozinc;Pièce(s);1,00;0,00;;;;;;;;
AR00000754;FOND DE GOUTTIERE CAR PIGNON ATZ;Façozinc;Pièce(s);2,02;0,00;;;;;;;;
AR00000756;FOND DE GOUTTIERE CAR 333 ZN;Façozinc;Pièce(s);1,59;0,00;;;;;;;;
AR00000762;ANGLE DL 333 ZN EXT;Façozinc;Pièce(s);24,49;0,00;;;;;;;;
AR00000763;ANGLE GR DL 333 ZN EXT SANS SOUDURE;Façozinc;Pièce(s);18,25;0,00;;;;;;;;
AR00000764;ANGLE GR DL 333 ZN INT SANS SOUDURE;Façozinc;Pièce(s);18,25;0,00;;;;;;;;
AR00000781;JOINT DE DILATATION DL 333 ZN;Façozinc;Pièce(s);10,04;0,00;;;;;;;;
AR00000782;JOINT DE DILATATION DL 285 ZN;Façozinc;Pièce(s);10,44;0,00;;;;;;;;
AR00000854;CROCHET CAR 333 GALVA;Façozinc;Pièce(s);1,28;0,00;;;;;;;;
AR00000855;CROCHET CAR 333 GALVA LT;Façozinc;Pièce(s);1,30;0,00;;;;;;;;
AR00000857;CROCHET CAR 333 NOIR;Façozinc;Pièce(s);1,90;0,00;;;;;;;;
AR00000860;CROCHET CAR 333 CUIVRE;Façozinc;Pièce(s);3,54;0,00;;;;;;;;
AR00000863;CROCHET CAR 250 GALVA;Façozinc;Pièce(s);1,28;0,00;;;;;;;;
AR00000865;CROCHET CAR 250 NOIR;Façozinc;Pièce(s);1,86;0,00;;;;;;;;
AR00000876;CROCHET CAR 400 GALVA;Façozinc;Pièce(s);1,92;0,00;;;;;;;;
AR00000885;JOINT DE DILATATION CAR 375 ZN;Façozinc;Pièce(s);11,20;0,00;;;;;;;;
AR00000886;JOINT DE DILATATION CAR 333 ZN;Façozinc;Pièce(s);10,52;0,00;;;;;;;;
AR00000957;CROCHET ARD 450 GALVA;Façozinc;Pièce(s);1,46;0,00;;;;;;;;
AR00000960;CROCHET ARD 450 NOIR;Façozinc;Pièce(s);1,92;0,00;;;;;;;;
AR00000971;JOINT DE DILATATION ARD 450 ZN;Façozinc;Pièce(s);12,51;0,00;;;;;;;;
AR00000983;TREILLIS DARIFIX ANTI-FEUILLES GRIS;Façozinc;Pièce(s);4,39;0,00;;;;;;;;
AR00000984;TREILLIS DARIFIX ANTI-FEUILLES MARRON;Façozinc;Pièce(s);4,39;0,00;;;;;;;;
AR00001076;COLLIER ROND GALVA D50;Façozinc;Pièce(s);1,30;0,00;;;;;;;;
AR00001077;COLLIER ROND GALVA D60;Façozinc;Pièce(s);1,28;0,00;;;;;;;;
AR00001078;COLLIER ROND GALVA D70;Façozinc;Pièce(s);1,30;0,00;;;;;;;;
AR00001080;COLLIER ROND GALVA D80;Façozinc;Pièce(s);1,61;0,00;;;;;;;;
AR00001081;COLLIER ROND GALVA D80 LT 15CM;Façozinc;Pièce(s);1,93;0,00;;;;;;;;
AR00001084;COLLIER ROND GALVA D100;Façozinc;Pièce(s);1,90;0,00;;;;;;;;
AR00001085;COLLIER ROND GALVA D100 LT 15CM;Façozinc;Pièce(s);2,29;0,00;;;;;;;;
AR00001088;COLLIER ROND GALVA D120;Façozinc;Pièce(s);2,04;0,00;;;;;;;;
AR00001109;COLLIER ROND CU D80;Façozinc;Pièce(s);4,07;0,00;;;;;;;;
AR00001119;BAGUE AUTO BLOQUANTE ATZ D80;Façozinc;Pièce(s);7,77;0,00;;;;;;;;
AR00001120;BAGUE AUTO BLOQUANTE ATZ D100;Façozinc;Pièce(s);7,97;0,00;;;;;;;;
AR00001122;BAGUE AUTO BLOQUANTE QZ D100;Façozinc;Pièce(s);7,95;0,00;;;;;;;;
AR00001125;COUDE ROND D60 ZN 90°;Façozinc;Pièce(s);10,93;0,00;;;;;;;;
AR00001126;COUDE ROND GR D60 ZN 72°;Façozinc;Pièce(s);3,56;0,00;;;;;;;;
AR00001129;COUDE ROND D80 ZN;Façozinc;Pièce(s);3,36;0,00;;;;;;;;
AR00001130;COUDE ROND GR D80 ZN 40°;Façozinc;Pièce(s);3,43;0,00;;;;;;;;
AR00001131;COUDE ROND GR D80 ZN 60°;Façozinc;Pièce(s);3,82;0,00;;;;;;;;
AR00001132;COUDE ROND GR D80 ZN 72°;Façozinc;Pièce(s);3,48;0,00;;;;;;;;
AR00001133;COUDE ROND GR D80 ZN 85°;Façozinc;Pièce(s);3,91;0,00;;;;;;;;
AR00001134;COUDE ROND D100 ZN 90°;Façozinc;Pièce(s);3,88;0,00;;;;;;;;
AR00001135;COUDE ROND GR D100 ZN 40°;Façozinc;Pièce(s);4,28;0,00;;;;;;;;
